year	country	leontiefreuse	domesticpref	reuse	exports	imports	consumption	maxflow	importshare
2001	AUT	.290214	.42773438	.38517877	82279.57	78919.836	178047.34	45839.066	.30315664
2001	BEL	.4114154	.41523439	.49337095	162421.3	146747.69	207806.97	96940.961	.39637083
2001	BGR	.3531138	.44960937	.50213736	6298.9702	7146.0151	13754.049	4571.1143	.35635608
2001	BRA	.13506991	.53095704	.31238464	67952.391	71207.594	524948.75	46190.23	.12010028
2001	CAN	.26212424	.36289063	.31482476	305527.03	251390.98	639453.25	144332.94	.26602775
2001	CHN	.16371404	.30185547	.25842893	299418.63	254919.05	1291500.6	181482.88	.16023381
2001	CYP	.31301445	.57851565	.4535369	2290.7747	4402.2007	11168.909	1852.5988	.32706568
2001	CZE	.39876586	.35507813	.51172483	37945.066	39436.941	61739.484	27521.508	.3956174
2001	DEU	.22078215	.43789062	.31815046	636044.31	543158.25	1702421	303457.13	.23227124
2001	DNK	.31187573	.44726563	.37509227	68753.719	56392.82	135520.89	35435.785	.27606377
2001	ESP	.25579649	.49101561	.40540728	144886.61	177717.69	614327.31	106899.66	.23408118
2001	EST	.33436745	.28134766	.39805096	4159.1689	4409.5317	7253.0664	2719.5598	.38638633
2001	FIN	.25232625	.36210936	.31973317	50362.371	37248.949	104350.81	25424.354	.24076131
2001	FRA	.23888285	.54150391	.37973228	348540	326535.28	1249702.4	196345.31	.20430899
2001	GBR	.18385625	.39257813	.266325	368615.59	369101.97	1396650.3	187594.81	.20909144
2001	GRC	.32473096	.54150391	.42300349	19156.715	42303.492	144930.11	14994.343	.25781164
2001	HUN	.46114188	.52275389	.62236106	33065.227	35449.813	52760.473	26369.15	.41304427
2001	IDN	.20483451	.24960938	.25908497	64404.523	48730.332	155746.05	34191.309	.22135001
2001	IND	.14227907	.49960938	.30681425	66875.422	65686.086	490299.22	51654.242	.11789138
2001	IRL	.45202863	.27080077	.48977324	96846.797	77624.117	80829.906	55534.867	.43688405
2001	ITA	.20276378	.45976561	.36127263	278622.94	266618.69	1050612	160528.33	.20058055
2001	JPN	.092111446	.46757811	.18211168	433152.06	364150.91	3991520.3	221609.05	.082300082
2001	KOR	.29063722	.41914064	.40732762	174125.47	153240.27	461091.75	115289.68	.24124072
2001	LTU	.35209981	.53154296	.50143701	5178.1348	6119.8311	12226.031	3540.8291	.35163024
2001	LUX	.59033346	.34882814	.62006646	25487.498	22774.639	16441.068	16893.301	.54317713
2001	LVA	.25828671	.34882814	.35003492	3223.6382	3832.0667	8576.6113	2030.7594	.32474455
2001	MEX	.30290154	.59492189	.43927553	162550.58	167753.03	675113.13	105444.05	.20026298
2001	MLT	.46703747	.50400388	.56437367	2432.6602	2954.3894	4103.6743	1683.21	.45199484
2001	NLD	.32912302	.38710937	.41279691	210812.11	178768.27	350403.09	121900.34	.31853783
2001	POL	.25402173	.48710936	.41624171	51317.555	55959.023	185994.34	35988.254	.23580369
2001	PRT	.29482934	.52275389	.45316058	29274.902	42744.25	122427.7	22830.344	.28176346
2001	ROM	.28400192	.37617189	.38590878	12503.776	15604.343	41954.289	9123.1953	.28653869
2001	RUS	.097591907	.027734375	.10015662	96552.648	59432.238	250229.09	30290.127	.17138226
2001	RoW	.24724004	.38085938	.32726035	1089314.5	1176110.3	3462615.8	733565.25	.25837615
2001	SVK	.45717126	.47070313	.59823471	14490.771	15893.354	21818.553	10693.617	.43772098
2001	SVN	.37019017	.41132814	.45192745	10317.847	10558.609	19437.76	6415.8101	.35484436
2001	SWE	.29783338	.40976563	.39569628	100696.19	81785.023	195954.91	55460.055	.27569434
2001	TUR	.21789169	.50869143	.38615009	42518.734	44933.313	205957.34	30880.184	.18083556
2001	TWN	.34227693	.40273437	.40423608	145951.67	123737.88	269485.38	78351.656	.29784989
2001	USA	.098370001	.48476562	.19382092	924669.56	1252718	10600000	633097.69	.10869882
2002	AUS	.12683243	.32460937	.200308	82430.875	85725.695	407371.91	45072.547	.17502084
2002	AUT	.28291479	.41210938	.36871207	90534.797	82047.734	188727.61	48363.582	.29380158
